elbow_flex,Wrist_flex,fnum
144.93227276258673,175.86844345087036,0
144.80330603984464,175.81428631722503,1
144.68654299478615,175.75445717532682,2
144.59620358099386,175.69511736837015,3
144.54136701925938,175.6358883151695,4
144.5239408649681,175.57302971808647,5
144.53318549515092,175.50188346522611,6
144.56201868306397,175.41955961112083,7
144.61858329999225,175.32759126859918,8
144.71721241725024,175.22982794816312,9
144.87014931772575,175.1343440294224,10
145.08220504984325,175.0564118260842,11
145.34521247011827,175.00198869856084,12
145.6418133066555,174.97364442101463,13
145.94288670380226,174.97109716683659,14
146.2239872253639,174.99059539197324,15
146.46940847431196,175.02567408001246,16
146.6708196134589,175.06594493502035,17
146.83206002440448,175.10484196323196,18
146.96011742112378,175.13739836515452,19
147.0648132940508,175.16313100632078,20
147.15364793967288,175.1819764323596,21
147.22880711982882,175.19579382655303,22
147.29058493316236,175.20564454471196,23
147.33157335823876,175.21021093247083,24
147.34733955866147,175.20791231990827,25
147.33510081115634,175.19958781269452,26
147.30014106920376,175.18613250940362,27
147.24778272950041,175.16940197177647,28
147.18448641515155,175.1533629802749,29
147.11163090241428,175.13988862023794,30
147.03477583177283,175.1297920408778,31
146.9519723896412,175.12205714407676,32
146.86734260002626,175.11477162899388,33
146.78793971076345,175.1064735351219,34
146.71684193029688,175.09688942916603,35
146.66242180401125,175.08804761126962,36
146.6276098638616,175.0806352489204,37
146.61442651373966,175.07291284566247,38
146.62555013993844,175.06545950285894,39
146.6496673031184,175.05551116107006,40
146.6656019340362,175.03822434066734,41
146.67083038018293,175.01578336532754,42
146.6650000695027,174.98912935948047,43
146.65285902990323,174.96237186605435,44
146.64473772285461,174.9394453922517,45
146.6454776419733,174.9222691575101,46
146.65232799925974,174.9100067868685,47
146.6541780574769,174.89657918085652,48
146.64989309936354,174.88070124086286,49
146.64067913067234,174.8640269200408,50
146.62018274640383,174.84526990289007,51
146.582652133532,174.82252254630689,52
146.52668996477217,174.7944651380784,53
146.46217730169525,174.76392530406918,54
146.4105008693704,174.7352782740039,55
146.38174498664608,174.71098803961917,56
146.37771032217375,174.6922495314796,57
146.39444941431523,174.6786142863348,58
146.43371392213655,174.6711599482756,59
146.4915503976401,174.66984571009496,60
146.55047630051916,174.67056269398708,61
146.59867871319398,174.67092814124766,62
146.62088742233547,174.66750379323275,63
146.62216222303613,174.66208633573967,64
146.60861432020246,174.65633552740186,65
146.58594169594986,174.65127107523483,66
146.5539540307354,174.6462934359769,67
146.52049752150623,174.64236890257197,68
146.48924859876726,174.64141325218682,69
146.45318405684458,174.64097941705305,70
146.4213916726443,174.64345876499644,71
146.40013479926233,174.64995857528478,72
146.39746948151736,174.66215961390594,73
146.40892490152848,174.67630816063388,74
146.42680393192518,174.6883295363389,75
146.44570844418197,174.69690424382136,76
146.45840903958504,174.7018401443212,77
146.45498100151218,174.7007931640918,78
146.44366049092696,174.69694592872662,79
146.42327719896005,174.68901192163668,80
146.39680279953802,174.6774036830152,81
146.37324346515385,174.66421636040326,82
146.35765716125593,174.65100264650283,83
146.34960659881995,174.6381397670454,84
146.338583834854,174.62231073490207,85
146.32690762419466,174.6060994258101,86
146.31638277381214,174.5908606460921,87
146.3181083457456,174.58136354585437,88
146.33200750374357,174.57900025840888,89
146.3595010340656,174.5861788780588,90
146.39938422976047,174.60279439665638,91
146.44788090318892,174.62860681001416,92
146.49661547714922,174.66156570081765,93
146.5363180964019,174.69821251705272,94
146.5642122663772,174.73694609242156,95
146.57478200318815,174.7764243034435,96
146.56263236037856,174.8166651068832,97
146.52079557847307,174.85649298254233,98
146.45275742826018,174.8962499504046,99
146.36151638640973,174.93649214575365,100
146.24991761547855,174.97522462175678,101
146.12149224902421,175.01016010838245,102
145.97396493446587,175.03420452466906,103
145.8085319095913,175.03853784766824,104
145.6381629781836,175.01680634748496,105
145.4784041074243,174.96582411068147,106
145.36015304742813,174.89045957771904,107
145.32287202916848,174.79945929976245,108
145.42507663727034,174.71222741852878,109
145.71058315680492,174.64735891554548,110
146.19636363336446,174.6204800898121,111
146.86978775465957,174.63710461413342,112
147.68822056677286,174.6899638505385,113
148.56825492039593,174.7611130003457,114
149.41400588472416,174.82839982345484,115
150.11864703546706,174.87363972224875,116
150.57099711719187,174.88997533749634,117
150.68792903800815,174.88541348511347,118
150.4084625883786,174.8642238733406,119
149.78216818212385,174.83234358533554,120
148.90721170718078,174.779352828926,121
147.88897663200754,174.6873446757319,122
146.82368421212098,174.55922380555634,123
145.77974067803714,174.4154843793275,124
144.8094994431493,174.27995044438177,125
143.98832603146153,174.16226551977306,126
143.43376034164675,174.06978477970034,127
143.25501140808672,173.99759148230552,128
143.42475470749858,173.92609278408324,129
143.851803010354,173.84470598640573,130
144.4504579400601,173.75254897786473,131
145.15056294472205,173.65870102582437,132
145.90349521883778,173.5729587202839,133
146.69291373724408,173.51064111329643,134
147.5151213873936,173.48489804175662,135
148.34351854253137,173.515077823597,136
149.11863758740088,173.62947256015903,137
149.76812466243123,173.83878107716788,138
150.21136095038145,174.12942512194834,139
150.37421305883802,174.47667326498018,140
150.22563929564384,174.84865185409745,141
149.81612816039126,175.1786231003067,142
149.23288011672125,175.42647231685947,143
148.57621610331802,175.58184136337212,144
147.9341565751441,175.64995361823875,145
147.36108759263348,175.65318934668943,146
146.85730821463156,175.62503247419332,147
146.37276711960826,175.58484744488226,148
145.81863078950545,175.5350818122117,149
145.08180352374382,175.46061670184497,150
144.03978200395576,175.33241203746078,151
142.5683119097825,175.1033473313951,152
140.55721443933967,174.72075089282671,153
137.90966397305203,174.13831927895248,154
134.5572625030891,173.3284233932267,155
130.44850812041088,172.30465980026378,156
125.57780273471484,171.15353025366048,157
120.0122300385467,170.03166154275104,158
113.89219581836863,169.11388399340785,159
107.4467856174578,168.54120949211563,160
100.89806251588064,168.3347027177833,161
94.59094896600874,168.40672685003764,162
88.88496960940805,168.6134926383172,163
84.03457631996217,168.86128235737567,164
80.17956491987232,169.0997619481019,165
77.42104042643139,169.3003598098215,166
75.8555600465512,169.440355736619,167
