elbow_flex,Wrist_flex,fnum
43.85157133700887,158.3592404606606,250
44.72870067049331,154.19623934466549,251
46.41447427639201,150.1657009753699,252
48.693479829725796,146.36669379631184,253
51.30673907258069,142.82305895952155,254
54.01582229413918,139.5420636701479,255
56.64266301513461,136.54586238636438,256
59.06943312487823,133.87569361721123,257
61.24887422964836,131.4940960775149,258
63.17333861619488,129.3090520203427,259
64.91086054103033,127.11563708749175,260
66.51493909361761,124.7689226376412,261
67.99461170195086,122.24703941501417,262
69.32408590356374,119.61395133847549,263
70.50702624948673,116.9874170049811,264
71.53227888473768,114.53254091259377,265
72.43631104546157,112.28578230170027,266
73.23538010564766,110.24038214313885,267
73.9167638977436,108.36491590931861,268
74.47218725103069,106.63132238366804,269
74.9170895888966,105.03987825895706,270
75.27399669840277,103.64179868243917,271
75.55421659759165,102.5050822832079,272
75.76132729394668,101.67905671621,273
75.88827739553402,101.28911021925624,274
75.85411346999827,101.4528330598727,275
75.55293201810332,102.26895924592415,276
74.92571560876894,103.81735905950372,277
73.97757705163127,106.10257944883912,278
72.75450637101025,109.01384831600626,279
71.3356745250138,112.33358151685002,280
69.83625297363918,115.78688388114203,281
68.34606672903509,119.08532513151903,282
66.91440803237374,122.03771546746795,283
65.55862745757081,124.50307611938422,284
64.30318882613535,126.31879299938673,285
63.15803216625405,127.36423127307305,286
62.18019345687776,127.55594971712694,287
61.43316496433169,126.85258312248072,288
61.0153753623514,125.36865770521929,289
60.91663382272419,123.32824788580604,290
61.008226546761094,121.02400870093095,291
61.14442673333046,118.7323766656685,292
61.36434971695263,116.68098445222334,293
61.64570361617663,114.9482461995344,294
61.985706281794506,113.53080290470527,295
62.39538500477328,112.36814108758804,296
62.86693706351792,111.37558485389768,297
63.40681002521864,110.47842938071958,298
64.02030972421228,109.63060589789866,299
