elbow_flex,Wrist_flex,fnum
64.99366469997057,173.75854646979292,0
65.02317871728152,173.79903495606285,1
65.1458722621724,173.9057643506764,2
65.26479967832869,173.93635665466215,3
65.14490346340486,173.5716504049229,4
65.10099753099027,173.50334450805352,5
65.08236516002215,173.3147728249054,6
65.31994630595206,173.17306663697306,7
65.82524179183802,173.00830827094327,8
65.489877902532,172.78971989663444,9
65.3642134253453,172.87981730544465,10
65.27173380274283,172.90682098625408,11
64.75208922866906,172.59937295849198,12
64.60294707830637,172.39826604136647,13
64.776414417341,172.23221334347642,14
64.42636940404803,172.23425377641394,15
64.3655577252582,171.77873572636568,16
64.39575545893713,171.78777780545084,17
64.24879632254103,171.91192391571263,18
64.64206616451463,171.98885602453268,19
64.43134735327186,171.9548863295737,20
64.49524076343391,171.8319123094004,21
64.66237834881213,172.21110579467882,22
64.40664698130941,172.63568090673513,23
64.18440751165893,172.41132699374964,24
64.34352238611228,172.60268916636986,25
64.23127437476687,172.37566776684943,26
64.29870077662204,172.5428205721837,27
64.38830917202425,172.61314442560837,28
64.49741644303806,171.97517415726384,29
64.38358503887493,172.33255674356653,30
64.44059672296208,172.5501990203713,31
64.30598301913204,172.3801925112494,32
64.0297334394882,172.3657396867925,33
64.00036134184495,172.06540924215977,34
64.31649555651583,172.80563886058417,35
64.1838681949849,172.5066099400058,36
64.28330597022791,172.6043820723232,37
64.52213151556184,172.03984559613983,38
64.20222935206851,172.35799555779528,39
64.33096768203917,172.57608578949305,40
64.6641338356503,172.83933148956558,41
64.33760806714369,172.62663097180018,42
64.09440479417276,172.17647033023434,43
64.36552512622998,171.64164052321246,44
64.24833911638244,171.64201376164178,45
64.26363665595775,171.64124063819042,46
64.36185875622918,171.7044641052556,47
64.40431910493821,172.05265519518343,48
64.18769615416919,171.7798104476726,49
64.35721122526458,171.76740576792392,50
64.31659698722396,171.65154606316872,51
64.10683911780225,171.83684401206452,52
64.35685037764101,171.90360641601183,53
64.45448539588979,171.89323419663492,54
64.45210558742293,172.12472555479425,55
64.28345933327826,171.99512627757747,56
64.51432014258198,172.03909102232484,57
64.28887571820505,171.9709342996992,58
64.18165035439496,171.65756887657395,59
64.17965915963481,171.71667815018225,60
64.1908607648602,172.00115182364996,61
64.21930551419109,171.98819919510078,62
64.22856915647417,171.73271274353772,63
64.13936583224408,171.8371919837122,64
64.26876223305005,172.13496748808,65
64.52701065967496,172.0621633444106,66
64.41725993427272,171.90363332872298,67
64.47052254357337,172.05276776395363,68
64.5859904198176,172.0561530890201,69
64.43138668101147,171.6547016259968,70
64.07363183912608,171.81681461202885,71
64.2500684497927,172.1405440678343,72
64.26888216443689,172.01387243805826,73
64.05938799936675,171.93338519786553,74
64.13936837149673,171.93450433813484,75
64.33552232356921,172.39829528021005,76
64.50850668823708,172.5006087819438,77
64.10990541860717,171.98826365806173,78
64.38653812071192,172.21939355588233,79
