scorer,DLC_resnet_50_JoystickOct23shuffle1_50000,DLC_resnet_50_JoystickOct23shuffle1_50000,DLC_resnet_50_JoystickOct23shuffle1_50000,DLC_resnet_50_JoystickOct23shuffle1_50000,DLC_resnet_50_JoystickOct23shuffle1_50000,DLC_resnet_50_JoystickOct23shuffle1_50000,DLC_resnet_50_JoystickOct23shuffle1_50000,DLC_resnet_50_JoystickOct23shuffle1_50000,DLC_resnet_50_JoystickOct23shuffle1_50000,DLC_resnet_50_JoystickOct23shuffle1_50000,DLC_resnet_50_JoystickOct23shuffle1_50000,DLC_resnet_50_JoystickOct23shuffle1_50000,DLC_resnet_50_JoystickOct23shuffle1_50000,DLC_resnet_50_JoystickOct23shuffle1_50000,DLC_resnet_50_JoystickOct23shuffle1_50000
bodyparts,Shoulder,Shoulder,Shoulder,Elbow,Elbow,Elbow,Wrist,Wrist,Wrist,Hand,Hand,Hand,Joystick,Joystick,Joystick
coords,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood
0,422.6023864746094,204.58070373535156,0.9985013008117676,399.3079833984375,247.47653198242188,0.9973172545433044,448.952392578125,299.7268371582031,0.99928879737854,474.5796203613281,310.3653259277344,0.9993495345115662,461.7790222167969,324.1686096191406,0.9844741821289062
1,422.7192687988281,204.5929718017578,0.9984422326087952,399.5271911621094,247.54635620117188,0.9972735047340393,448.9510192871094,299.69805908203125,0.9992663264274597,474.5324401855469,310.51177978515625,0.99928879737854,461.62689208984375,324.1297607421875,0.9866788983345032
2,422.81341552734375,204.56661987304688,0.9984152317047119,399.74591064453125,247.44894409179688,0.9973917007446289,449.0440368652344,299.6836242675781,0.9992833733558655,474.5577697753906,310.61297607421875,0.9992664456367493,461.5979309082031,324.13623046875,0.9873483180999756
3,423.007080078125,204.6671600341797,0.9982591271400452,400.30133056640625,247.75885009765625,0.997505247592926,449.5231628417969,299.8239440917969,0.9994102716445923,474.9490051269531,310.6045227050781,0.9993663430213928,462.07000732421875,324.20458984375,0.9830120205879211
4,423.1021423339844,204.73643493652344,0.9981696605682373,400.8578796386719,247.8923797607422,0.9977163076400757,450.13336181640625,300.2143249511719,0.9995785355567932,475.7578125,310.890625,0.9994763731956482,462.8503723144531,324.2735900878906,0.9872623085975647
5,423.3932189941406,204.91787719726562,0.99791020154953,401.2861328125,248.03677368164062,0.9975970387458801,450.7464599609375,300.4678649902344,0.9996115565299988,476.2207946777344,311.1311340332031,0.9995131492614746,463.4267578125,324.23944091796875,0.9892926216125488
6,423.552001953125,205.16014099121094,0.9978906512260437,401.53900146484375,248.2516326904297,0.9976180195808411,450.9114685058594,300.6758728027344,0.9996034502983093,476.4512023925781,311.2057189941406,0.9995009899139404,463.65753173828125,324.3026428222656,0.989697277545929
7,423.5714111328125,205.1588134765625,0.9978827834129333,401.5556945800781,248.2349853515625,0.9976231455802917,450.8746643066406,300.6206970214844,0.9996067881584167,476.4208984375,311.1811828613281,0.9994939565658569,463.63751220703125,324.2964782714844,0.9896185994148254
8,423.5600891113281,205.15142822265625,0.9978894591331482,401.5839538574219,248.242919921875,0.9976608753204346,450.7879333496094,300.52703857421875,0.9996111989021301,476.3255920410156,311.1421203613281,0.9995038509368896,463.5860595703125,324.2864990234375,0.9891831874847412
9,423.5004577636719,205.19944763183594,0.997908353805542,401.48748779296875,248.3682098388672,0.9974021911621094,450.61602783203125,300.4190368652344,0.9996091723442078,476.000732421875,311.1346130371094,0.9994764924049377,463.1334228515625,324.1490783691406,0.9891084432601929
10,423.471923828125,205.24057006835938,0.9979071617126465,401.29345703125,248.45614624023438,0.9973742961883545,450.5752868652344,300.46063232421875,0.9996145963668823,475.7964782714844,311.0782165527344,0.9994437098503113,462.9395446777344,324.1420593261719,0.9886178374290466
11,423.4092712402344,205.22296142578125,0.9979908466339111,401.2117614746094,248.4993133544922,0.9973004460334778,450.4913330078125,300.3824157714844,0.9996017813682556,475.68499755859375,311.0273132324219,0.9994271993637085,462.7107238769531,324.1716613769531,0.9875044226646423
12,423.2366027832031,205.2319793701172,0.9980858564376831,401.1611633300781,248.4871826171875,0.9973394274711609,450.3495788574219,300.2893371582031,0.9995970129966736,475.60137939453125,310.96490478515625,0.9994229078292847,462.5776672363281,324.10162353515625,0.9871923923492432
13,423.2428283691406,205.40109252929688,0.9981348514556885,401.1507873535156,248.71530151367188,0.9971930384635925,450.4496154785156,300.437744140625,0.9995970129966736,475.74053955078125,311.0622253417969,0.9994356036186218,462.8499755859375,324.1924743652344,0.9885955452919006
