scorer,DLC_resnet_50_JoystickOct23shuffle1_50000,DLC_resnet_50_JoystickOct23shuffle1_50000,DLC_resnet_50_JoystickOct23shuffle1_50000,DLC_resnet_50_JoystickOct23shuffle1_50000,DLC_resnet_50_JoystickOct23shuffle1_50000,DLC_resnet_50_JoystickOct23shuffle1_50000,DLC_resnet_50_JoystickOct23shuffle1_50000,DLC_resnet_50_JoystickOct23shuffle1_50000,DLC_resnet_50_JoystickOct23shuffle1_50000,DLC_resnet_50_JoystickOct23shuffle1_50000,DLC_resnet_50_JoystickOct23shuffle1_50000,DLC_resnet_50_JoystickOct23shuffle1_50000,DLC_resnet_50_JoystickOct23shuffle1_50000,DLC_resnet_50_JoystickOct23shuffle1_50000,DLC_resnet_50_JoystickOct23shuffle1_50000
bodyparts,Shoulder,Shoulder,Shoulder,Elbow,Elbow,Elbow,Wrist,Wrist,Wrist,Hand,Hand,Hand,Joystick,Joystick,Joystick
coords,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood
0,575.5152587890625,162.6342010498047,0.9975712895393372,553.9325561523438,207.83798217773438,0.999121367931366,610.0615234375,257.4392395019531,0.9989973902702332,635.9707641601562,267.5972900390625,0.9967260360717773,629.6273803710938,290.64312744140625,0.9663888812065125
1,575.348876953125,163.0771026611328,0.9979548454284668,553.7235107421875,208.0750274658203,0.9992628693580627,609.743896484375,257.38934326171875,0.9988318085670471,635.9615478515625,267.5802917480469,0.9967427849769592,629.5274658203125,290.725341796875,0.963292121887207
2,575.1613159179688,163.35504150390625,0.998210072517395,553.6749877929688,208.37472534179688,0.9993608593940735,609.630859375,257.4167785644531,0.998842179775238,635.9730224609375,267.6133728027344,0.9968138337135315,629.46044921875,290.7851257324219,0.9625943303108215
3,575.0293579101562,163.6964874267578,0.998516857624054,553.405029296875,208.60267639160156,0.9993364214897156,609.470458984375,257.58514404296875,0.9988735318183899,635.9564819335938,267.6137390136719,0.9968088269233704,629.163818359375,291.0113220214844,0.9559693336486816
4,574.7086181640625,163.83438110351562,0.998705267906189,553.2108764648438,208.73736572265625,0.9993433356285095,609.435302734375,257.5758972167969,0.9988580942153931,635.7762451171875,267.64794921875,0.9967267513275146,628.9696044921875,291.0908203125,0.9564288854598999
5,574.880615234375,163.6366729736328,0.998556911945343,553.135498046875,208.76806640625,0.9993282556533813,609.4312133789062,257.5990295410156,0.9988629817962646,635.860107421875,267.6664123535156,0.9968873858451843,628.9000244140625,291.1208190917969,0.9569528102874756
6,575.3438720703125,163.35841369628906,0.9980953335762024,553.5477905273438,208.5951385498047,0.999279797077179,609.964599609375,257.0032043457031,0.9990235567092896,636.028564453125,267.53741455078125,0.996933102607727,629.825439453125,290.5255126953125,0.9579011797904968
7,575.7740478515625,162.97459411621094,0.9970163106918335,553.8851318359375,208.48446655273438,0.999250590801239,610.7539672851562,256.93096923828125,0.9990528225898743,636.668701171875,267.68731689453125,0.9969398975372314,630.4710693359375,290.3702697753906,0.9732114672660828
8,576.2642822265625,163.64639282226562,0.9962494969367981,554.1201171875,208.5457000732422,0.999263346195221,611.1239013671875,256.7784729003906,0.9990432858467102,637.0753173828125,267.7418518066406,0.9968683123588562,629.36328125,289.5938415527344,0.9635739326477051
9,576.0389404296875,163.29652404785156,0.9967683553695679,554.2138061523438,208.81320190429688,0.9993009567260742,612.0321044921875,256.803955078125,0.9989044666290283,638.0574951171875,267.7261657714844,0.9967283010482788,632.3224487304688,288.82781982421875,0.9751031994819641
10,575.9620971679688,163.62066650390625,0.9973607659339905,554.2528076171875,209.15380859375,0.9993064403533936,612.4002075195312,256.5105285644531,0.9986573457717896,638.0885009765625,267.58038330078125,0.9963880777359009,632.7528076171875,289.0535583496094,0.9805087447166443
11,575.6428833007812,163.86154174804688,0.9979300498962402,554.1105346679688,209.31756591796875,0.9993425011634827,612.035400390625,256.72686767578125,0.9989042282104492,638.0932006835938,267.6160583496094,0.9965643286705017,632.6982421875,288.9985656738281,0.9784219264984131
12,575.2708740234375,164.34848022460938,0.9984349608421326,553.7564086914062,209.514892578125,0.999288022518158,611.5601196289062,256.8231506347656,0.9991247057914734,637.6221923828125,267.57177734375,0.9965060949325562,632.0195922851562,288.8894348144531,0.9722384214401245
13,575.26904296875,164.3814697265625,0.9983981251716614,553.5108032226562,209.31112670898438,0.9993371367454529,610.8663940429688,256.9765625,0.999220609664917,637.1401977539062,267.67236328125,0.9964572787284851,629.4658813476562,289.7828674316406,0.9709039330482483
14,575.2943725585938,164.4117431640625,0.9984138011932373,553.367919921875,209.2510528564453,0.9993658661842346,610.7315673828125,256.92108154296875,0.9991791844367981,636.86328125,267.7513427734375,0.9964274764060974,630.6351318359375,290.4123229980469,0.9746472835540771
