scorer,DLC_resnet_50_JoystickOct23shuffle1_50000,DLC_resnet_50_JoystickOct23shuffle1_50000,DLC_resnet_50_JoystickOct23shuffle1_50000,DLC_resnet_50_JoystickOct23shuffle1_50000,DLC_resnet_50_JoystickOct23shuffle1_50000,DLC_resnet_50_JoystickOct23shuffle1_50000,DLC_resnet_50_JoystickOct23shuffle1_50000,DLC_resnet_50_JoystickOct23shuffle1_50000,DLC_resnet_50_JoystickOct23shuffle1_50000,DLC_resnet_50_JoystickOct23shuffle1_50000,DLC_resnet_50_JoystickOct23shuffle1_50000,DLC_resnet_50_JoystickOct23shuffle1_50000,DLC_resnet_50_JoystickOct23shuffle1_50000,DLC_resnet_50_JoystickOct23shuffle1_50000,DLC_resnet_50_JoystickOct23shuffle1_50000
bodyparts,Shoulder,Shoulder,Shoulder,Elbow,Elbow,Elbow,Wrist,Wrist,Wrist,Hand,Hand,Hand,Joystick,Joystick,Joystick
coords,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood
0,580.0886840820312,154.44732666015625,0.9963183403015137,546.9907836914062,202.2822265625,0.9979100823402405,611.1151733398438,255.78823852539062,0.9989475607872009,641.1080932617188,269.9777526855469,0.9976544976234436,635.1563110351562,290.7853698730469,0.038364481180906296
1,579.30322265625,154.65054321289062,0.9970381259918213,546.191162109375,201.9449005126953,0.9980467557907104,610.1769409179688,256.4244079589844,0.9984344840049744,639.781005859375,270.3392333984375,0.9975317716598511,634.3452758789062,290.76104736328125,0.023145070299506187
2,579.193603515625,155.69482421875,0.9980064034461975,546.0154418945312,202.2006072998047,0.9979032278060913,610.5545043945312,256.93084716796875,0.9987290501594543,639.50244140625,272.18646240234375,0.9981375932693481,633.6209716796875,290.8482360839844,0.018421374261379242
3,578.9388427734375,156.2149200439453,0.9985438585281372,545.62646484375,202.74664306640625,0.9969902038574219,609.0224609375,258.35369873046875,0.9989204406738281,637.7106323242188,271.8821105957031,0.9984104633331299,632.4943237304688,289.7286682128906,0.018519867211580276
4,578.2713012695312,156.64341735839844,0.9984488487243652,544.7979736328125,203.00241088867188,0.9969229102134705,608.35205078125,258.934814453125,0.998684823513031,637.84765625,272.36651611328125,0.9986581802368164,632.7716674804688,290.5896301269531,0.022492125630378723
5,578.4373779296875,156.78109741210938,0.9983184337615967,544.7564086914062,203.2678680419922,0.9969782829284668,607.9761352539062,259.2890930175781,0.9988528490066528,637.4537353515625,271.4284362792969,0.9985572695732117,633.4945678710938,290.3904113769531,0.03188396245241165
6,578.599609375,156.60244750976562,0.9978886246681213,545.273681640625,203.21519470214844,0.9968608617782593,608.3328247070312,259.56396484375,0.9991424083709717,638.171142578125,271.1327209472656,0.9979836940765381,634.4116821289062,290.43780517578125,0.03118126280605793
7,579.43896484375,155.83181762695312,0.9978652596473694,546.75048828125,202.65084838867188,0.9962424039840698,609.3429565429688,259.0124206542969,0.9992363452911377,638.1406860351562,270.1377258300781,0.9969567060470581,635.1439208984375,290.9016418457031,0.041093990206718445
8,580.5466918945312,154.78797912597656,0.9979543685913086,549.0604248046875,203.04742431640625,0.9953436255455017,610.826904296875,257.956298828125,0.9992747902870178,640.8114624023438,269.8724365234375,0.9975962042808533,636.8677978515625,290.77691650390625,0.049705080687999725
9,581.924072265625,153.56939697265625,0.9980411529541016,551.4129028320312,201.97557067871094,0.9857224225997925,613.6611328125,257.1395263671875,0.998610258102417,643.9081420898438,270.3252868652344,0.9979045391082764,641.3377685546875,292.4449462890625,0.01924791932106018
10,583.7727661132812,151.82350158691406,0.9967971444129944,553.3863525390625,199.5901336669922,0.9852992296218872,614.4837646484375,256.8770751953125,0.9965204000473022,647.8917236328125,271.0790100097656,0.997133731842041,647.1150512695312,290.442626953125,0.05101406201720238
11,584.3611450195312,151.38470458984375,0.9962120056152344,553.9451904296875,199.5349578857422,0.9887580871582031,619.5009155273438,256.9627685546875,0.9974853992462158,650.3948974609375,270.5638122558594,0.9986489415168762,650.1126098632812,291.159423828125,0.05402045324444771
12,584.5288696289062,150.88046264648438,0.9940003156661987,555.6530151367188,200.1265106201172,0.988353967666626,625.157958984375,257.71807861328125,0.9977890253067017,656.894775390625,270.53143310546875,0.9989264607429504,656.1271362304688,291.55194091796875,0.022965844720602036
13,584.3639526367188,150.7635498046875,0.9930536150932312,557.2722778320312,199.7777099609375,0.986832857131958,628.161865234375,256.8013610839844,0.9976845979690552,660.2310791015625,270.1915588378906,0.9993422627449036,557.0547485351562,205.5434112548828,0.019567061215639114
