scorer,DLC_resnet_50_JoystickOct23shuffle1_50000,DLC_resnet_50_JoystickOct23shuffle1_50000,DLC_resnet_50_JoystickOct23shuffle1_50000,DLC_resnet_50_JoystickOct23shuffle1_50000,DLC_resnet_50_JoystickOct23shuffle1_50000,DLC_resnet_50_JoystickOct23shuffle1_50000,DLC_resnet_50_JoystickOct23shuffle1_50000,DLC_resnet_50_JoystickOct23shuffle1_50000,DLC_resnet_50_JoystickOct23shuffle1_50000,DLC_resnet_50_JoystickOct23shuffle1_50000,DLC_resnet_50_JoystickOct23shuffle1_50000,DLC_resnet_50_JoystickOct23shuffle1_50000,DLC_resnet_50_JoystickOct23shuffle1_50000,DLC_resnet_50_JoystickOct23shuffle1_50000,DLC_resnet_50_JoystickOct23shuffle1_50000
bodyparts,Shoulder,Shoulder,Shoulder,Elbow,Elbow,Elbow,Wrist,Wrist,Wrist,Hand,Hand,Hand,Joystick,Joystick,Joystick
coords,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood
0,311.78997802734375,312.5,0.9957199692726135,287.35113525390625,261.297607421875,0.9963725805282593,284.5550842285156,266.05621337890625,0.006805984303355217,291.82293701171875,379.87115478515625,0.987637996673584,285.4538879394531,270.4419860839844,0.009876172058284283
1,313.0772705078125,311.7929382324219,0.997323751449585,288.06622314453125,261.97039794921875,0.9963945746421814,314.4452209472656,301.20574951171875,0.010314280167222023,294.8346252441406,381.8121643066406,0.9868361949920654,285.3380126953125,270.39556884765625,0.014084787108004093
2,313.3184814453125,310.21221923828125,0.9973451495170593,288.6691589355469,262.09588623046875,0.9964215755462646,314.5155334472656,301.093017578125,0.010206476785242558,296.92120361328125,384.07647705078125,0.9867429733276367,285.5671081542969,270.1792297363281,0.012363127432763577
3,311.7526550292969,307.7503662109375,0.9964845180511475,288.7398376464844,260.7828369140625,0.9967082738876343,295.7143249511719,372.69256591796875,0.012276518158614635,298.3146057128906,384.9639892578125,0.991706132888794,295.2711181640625,400.198486328125,0.012859256006777287
4,311.2704772949219,304.60260009765625,0.9927882552146912,288.7081298828125,258.9036865234375,0.9964246153831482,296.0286865234375,371.9498291015625,0.011272418312728405,298.97711181640625,382.3096008300781,0.9947492480278015,295.39044189453125,391.38470458984375,0.013559553772211075
5,311.4950866699219,300.7391662597656,0.996283233165741,288.80572509765625,256.2497863769531,0.9962330460548401,296.22125244140625,371.0718688964844,0.010753681883215904,299.97174072265625,380.5097351074219,0.9959561228752136,295.1396789550781,390.7888488769531,0.021135538816452026
6,310.73480224609375,296.1761474609375,0.9930738210678101,290.708984375,254.3179931640625,0.996807873249054,295.7816467285156,371.9381408691406,0.011805769056081772,299.6396179199219,378.9020080566406,0.9962047934532166,295.72491455078125,390.3976745605469,0.029777156189084053
7,312.9809265136719,293.0075988769531,0.9963980913162231,290.9983825683594,250.55654907226562,0.9967441558837891,296.2957763671875,373.1664123535156,0.013060780242085457,299.8755187988281,375.27581787109375,0.9949009418487549,296.3682861328125,389.4584045410156,0.03258517012000084
8,311.1535339355469,288.93878173828125,0.9959335923194885,289.94842529296875,247.191650390625,0.9962984919548035,296.8978271484375,356.9399108886719,0.009631219319999218,298.7135009765625,371.21875,0.9910218119621277,295.9065856933594,386.4640197753906,0.016512172296643257
9,310.8450012207031,287.2416687011719,0.9954147338867188,289.513671875,245.27163696289062,0.9968208074569702,295.6942443847656,357.0291748046875,0.014728379435837269,297.11077880859375,368.6512145996094,0.9825782179832458,295.4801025390625,374.1363220214844,0.013386386446654797
10,311.06024169921875,285.9457702636719,0.9960434436798096,289.43170166015625,243.2056427001953,0.997565507888794,296.8585510253906,357.2772521972656,0.01218890119343996,295.32708740234375,364.9704284667969,0.9764077663421631,295.14111328125,374.77972412109375,0.010504459030926228
11,311.00103759765625,286.5520935058594,0.9970341920852661,289.7756042480469,241.36602783203125,0.9976674914360046,296.899169921875,357.3738098144531,0.013400903902947903,295.5030822753906,363.7679138183594,0.9771357774734497,294.9344482421875,374.650146484375,0.013917381875216961
12,311.0635681152344,287.80181884765625,0.9967378973960876,289.6650695800781,241.31178283691406,0.9976379871368408,297.93719482421875,357.4309387207031,0.017158308997750282,295.5603942871094,362.6537170410156,0.9799612164497375,294.92083740234375,373.8772277832031,0.020258311182260513
13,312.9715881347656,290.1274719238281,0.9980131387710571,290.2498474121094,242.18580627441406,0.9981056451797485,297.7339172363281,356.2161560058594,0.017034534364938736,296.3936767578125,361.9486083984375,0.9871432185173035,295.1044616699219,373.6866149902344,0.022399740293622017
